"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"RT @jeffgreer_cj: [new] Keith Kelsey: ""You better watch out"" - Devonte Fields is healthy and playing well. Dominant vs. Wake. https://t.co/…",FALSE,0,NA,2016-11-13 05:38:52,FALSE,NA,"797675074035781632",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sboz51",4,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/766329135182610432/Z5Yqt_P0_normal.jpg"
"RT @ayatobeat: RT希望です！リプお願いします！
いつかのときのために…
十六夜咲夜→ボーカル曲といえば…
幽閉サテライト→
暁records→
SOUND HOLIC→
凋叶棕→
A-One→
FELT→
豚乙女→
silver forest→
岸田教団→
魂温…",FALSE,0,NA,2016-11-13 05:38:50,FALSE,NA,"797675064548130816",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Rta_musicgames",1,TRUE,FALSE,NA,NA,"アニカロ（AC）","ja","http://pbs.twimg.com/profile_images/797155695686582273/YXy7iCBE_normal.jpg"
"RT @travel2next: Thrilling Bear Watching Experience in Finland in The Forest https://t.co/1AVAemr5VD https://t.co/GIrake73w0",FALSE,0,NA,2016-11-13 05:38:49,FALSE,NA,"797675059896782848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bar0ssabrewer",24,TRUE,FALSE,NA,NA,"Andrews Farm","en","http://pbs.twimg.com/profile_images/540337630681235456/up0UjyR6_normal.jpeg"
"소사사랑ㅇ해.....",FALSE,0,NA,2016-11-13 05:38:47,FALSE,NA,"797675053290659840",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Forest_Method_",0,FALSE,FALSE,NA,NA,"대나무숲","ko","http://pbs.twimg.com/profile_images/786525753479278592/Fj-Xoelp_normal.jpg"
"RT @mh76_bot_1: 복지가 퍼주기 포퓰리즘이라는 '이명박'정부와 '박근혜'정부의 국제적인 망신 자료 https://t.co/5y2M6RWZjW",FALSE,0,NA,2016-11-13 05:38:45,FALSE,NA,"797675046701449217",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Norway_Forest",42,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/1950417084/image_normal.jpg"
"앤캐가...보고싶어ㅓ요.....",FALSE,0,NA,2016-11-13 05:38:38,FALSE,NA,"797675017051832320",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Forest_Method_",0,FALSE,FALSE,NA,NA,"대나무숲","ko","http://pbs.twimg.com/profile_images/786525753479278592/Fj-Xoelp_normal.jpg"
"RT @travel2next: Thrilling Bear Watching Experience in Finland in The Forest https://t.co/1AVAemr5VD https://t.co/GIrake73w0",FALSE,0,NA,2016-11-13 05:38:36,FALSE,NA,"797675007371608064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_wlnelibrary",24,TRUE,FALSE,NA,NA,"Sydney","en","http://pbs.twimg.com/profile_images/540374747247575040/NXw9Atqe_normal.jpeg"
"RT @UoflUpdates: Cards beat Wake Forest 44-12 behind Brandon Radcliff's 3 TD's. #L1C4 #GoCards https://t.co/9eqTQK8S7i",FALSE,0,NA,2016-11-13 05:38:31,FALSE,NA,"797674987297640448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Golden_56",2,TRUE,FALSE,NA,NA,"502","en","http://pbs.twimg.com/profile_images/752916931544580097/3VI14wJz_normal.jpg"
"RT @terninator2: &lt;민중총궐기&gt; 외신 보도
일본 아사히TV “100만명 항의 집회”
영국 BBC “벗어날 수 없는 함성”
미국 워싱턴포스트 “그림자 대통령, 국민적 공분 일으켜”
AP통신 “민주화 이후 최대 규모 집회”
https://t…",FALSE,0,NA,2016-11-13 05:38:27,FALSE,NA,"797674971312992256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Norway_Forest",467,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/1950417084/image_normal.jpg"
"RT @PresidentVSKim: 김재규인들 좋은 말로 다까기 마사오를 설득할 줄 몰라서 대가리에 총을 쐈겠나. 촛불에 담긴 민심에 설득당하지 못한다면, 똑 같은 결과가 기다린다는 걸 보여줄 필요도 있는 것 아인가 싶다만.",FALSE,0,NA,2016-11-13 05:38:21,FALSE,NA,"797674943999680512",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Norway_Forest",278,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/1950417084/image_normal.jpg"
